"StichtagDatJahr","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"Artus",2004,"1","männlich",1,1
2015,"Artus",2005,"1","männlich",1,1
2015,"Artus",2008,"1","männlich",1,1
2015,"Arwen",2002,"2","weiblich",2,1
2015,"Arwen",2008,"1","männlich",1,1
2015,"Arya",2014,"2","weiblich",2,2
2015,"Asco",2010,"1","männlich",1,1
2015,"Asco (Aristorrat)",2008,"1","männlich",1,1
2015,"Ashanti",2006,"2","weiblich",2,1
2015,"Ashbury Happy Sunshine",2012,"2","weiblich",2,1
2015,"Asia",2002,"2","weiblich",2,1
2015,"Asia",2005,"2","weiblich",2,1
2015,"Aska",2010,"2","weiblich",2,1
2015,"Aska",2013,"2","weiblich",2,1
2015,"Askari",2005,"1","männlich",1,1
2015,"Asla",2010,"2","weiblich",2,1
2015,"Aslan",2014,"1","männlich",1,1
2015,"Asta",2002,"2","weiblich",2,1
2015,"Asta",2004,"2","weiblich",2,1
2015,"Asta",2005,"2","weiblich",2,1
2015,"Asta",2007,"2","weiblich",2,1
2015,"Asta",2008,"2","weiblich",2,1
2015,"Asthon",2012,"1","männlich",1,1
2015,"Asti",2002,"1","männlich",1,1
2015,"Aston Henry",2012,"1","männlich",1,1
2015,"Athao",2006,"1","männlich",1,1
2015,"Athos",2011,"1","männlich",1,1
2015,"Athos",2014,"1","männlich",1,1
2015,"Athos",9999,"1","männlich",1,1
2015,"Athos Chips",2008,"1","männlich",1,1
2015,"Atila",1997,"1","männlich",1,1
2015,"Atila",2011,"2","weiblich",2,1
2015,"Atos",2011,"1","männlich",1,1
2015,"Atreju (Anpaytoo)",2008,"1","männlich",1,1
2015,"Attila",2011,"1","männlich",1,1
2015,"Audrey",2008,"2","weiblich",2,1
2015,"Aura (Juice)",2008,"2","weiblich",2,1
2015,"Aurelie",2011,"2","weiblich",2,1
2015,"Auron",2011,"1","männlich",1,1
2015,"Aurora vom Wyhental",2013,"2","weiblich",2,1
2015,"Ava (Usambara)",2009,"2","weiblich",2,1
2015,"Avalon",2006,"1","männlich",1,1
2015,"Avalon-Joya",2014,"2","weiblich",2,1
2015,"Avani",2012,"2","weiblich",2,1
2015,"Avery",2013,"1","männlich",1,1
2015,"Avon vom Kunstgarten",2012,"1","männlich",1,1
2015,"Awitto",2001,"1","männlich",1,1
2015,"Axel",2006,"1","männlich",1,1
2015,"Axel von Burg Schwärtzenberg",2011,"1","männlich",1,1
2015,"Ayana",2012,"2","weiblich",2,1
